(5272)0124 090105.5#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources61_enUK.properties) error = 2: The system cannot find the file specified.
(5272)0124 090105.5#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources61_enUK.properties) error = 2: The system cannot find the file specified.
(5272)0124 090105.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources_enUK.properties) error = 2: The system cannot find the file specified.
(5272)0124 090105.6#WAR(npreOSItf.c@2057):	[npreOSItf] npreGetViewFromFileMapping, CreateFile(c:\NewPOS61Train\PosData\i18n\pos-resources_enUK.properties) error = 2: The system cannot find the file specified.
(5272)0124 090105.6#WAR(npreRdTb.c@1733):	genXCreateTable:Error parsing xml rc:0x50e00 (line: 0)
(1764)0124 090108.7#WAR(npreControlProcess.c@490):	[npreCP_Initialize] build:6_1_17B191 $RCSfile: npreControlProcess.c,v $$Revision: 1.3.8.2 $ Jun 17 2011 09:13:09
(0992)0124 090112.0#WAR(npreOSItf.h@902):	[npreOSItf] npreDeleteFile, DeleteFile file name = [c:\NewPOS61Train\OutPutFiles002\\POS0002_TLOG_ERASE.CTL] error = 2: The system cannot find the file specified.
(0992)0124 090112.0#WAR(npreOSItf.h@902):	[npreOSItf] npreDeleteFile, DeleteFile file name = [c:\NewPOS61Train\OutPutFiles002\\POS0002_TLOG_RECOVERED_FROMWAY.REC] error = 2: The system cannot find the file specified.
(0992)0124 090112.0#WAR(npAdpUI.c@185):	[npAdpUI.dll] build:6_1_17B191 $RCSfile: npAdpUI.c,v $$Revision: 1.64.2.3 $ Jun 17 2011 09:16:26
(0992)0124 090112.0#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npGUIWSSC_SetSIData] error = 127: The specified procedure could not be found.
(0992)0124 090112.0#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npGUI_SetChannel] error = 127: The specified procedure could not be found.
(0992)0124 090112.0#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npGUI_Transaction] error = 127: The specified procedure could not be found.
(0992)0124 090112.9#WAR(npGUICL.c@227):	[npGUICL.dll] has been initialized (0x00 3003) !
(0992)0124 090112.9#WAR(npAdpUI.c@257):	[npAdpUI_Initialize] getting SI driver
(0992)0124 090112.9#WAR(npAdpUI.c@259):	[npAdpUI_Initialize] initializing SI driver
(0992)0124 090112.9#WAR(npAdpHttp.c@121):	[npAdpHttp.dll] build:6_1_17B191 $RCSfile: npAdpHttp.c,v $$Revision: 1.22 $ Jun 17 2011 09:13:43
(0992)0124 090112.9#WAR(npDrvHTTP.c@743):	[npDrvHTTP.dll] build:6_1_17B191 $RCSfile: npDrvHTTP.c,v $$Revision: 1.22 $ Jun 17 2011 09:13:41
(0992)0124 090112.9#WAR(npAdpPrn.c@139):	[npAdpPrn.dll] build:6_1_17B191 $RCSfile: npAdpPrn.c,v $$Revision: 1.44.2.4 $ Jun 17 2011 09:16:31
(0992)0124 090112.9#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npNetPrn_Initialize] error = 127: The specified procedure could not be found.
(0992)0124 090112.9#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npDrvPrn_Query] error = 127: The specified procedure could not be found.
(0992)0124 090112.9#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npDrvPrn_SetPrinter] error = 127: The specified procedure could not be found.
(0992)0124 090112.9#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npaccTaxInitialize] error = 127: The specified procedure could not be found.
(0992)0124 090112.9#WAR(npreOSItf.h@989):	[npreOSItf] npreGetProcAddress, GetProcAddress proc name [npaccTaxFinalize] error = 127: The specified procedure could not be found.
(0992)0124 090113.0#WAR(npParsePOSDB.c@784):	npcfFindSectionConfig: NULL pointer received
(0992)0124 090113.0#WAR(npParsePOSDB.c@784):	npcfFindSectionConfig: NULL pointer received
(0992)0124 090122.7#WAR(npBusCompMain.c@1922):	[lCheckTLOGWithWayStation] Error contacting WAY Station: status=0x144c00
(2128)0124 090129.0#WAR(npreControlProcess.c@81):	[CP_MainThread] Timeout waiting publisher adaptor activation.
(2128)0124 090129.0#WAR(npreControlProcess.c@85):	[CP_MainThread] Start thread
(3272)0124 090138.5#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 796 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(5516)0124 090151.3#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(0992)0124 090153.4#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(0992)0124 090153.4#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(0992)0124 090153.5#WAR(npSaleProduct.c@133):	SaleProductAlloc: size = 102400, count = 1
(0992)0124 090153.5#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(0992)0124 090225.7#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(3272)0124 090225.7#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 795 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
(0992)0124 090226.7#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(0992)0124 090227.0#WAR(npreOSItf.c@265):	[npreOSItf] npreFindClose, FindClose error = 6: The handle is invalid.
(0992)0124 090259.6#WAR(npGUICL.c@244):	[npGUICL.dll] has been finalized !
(3272)0124 090313.0#WAR(npreMsg.c@3972):	[npreMsg] npreMsg2_SendRecvEx, communication from [WAY0300] to [WAY0300] has taken 796 ms - UNKNOWN SERVICE - command = 20150, 1st param = []
